"assignees","author","body","closed","closedAt","comments","createdAt","id","labels","milestone","number","projectCards","projectItems","reactionGroups","state","title","updatedAt","url"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001419225' for more information of error.",true,"2026-01-15T08:08:02Z",0,"2026-01-14T17:17:28Z",3814105339,"bug","",2516,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2516/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001419225","2026-01-15T08:08:02Z","https://github.com/Ka0s-Klaus/ka0s/issues/2516"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001660884' for more information of error.",true,"2026-01-15T08:08:01Z",0,"2026-01-14T17:16:37Z",3814102854,"bug","",2515,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2515/reactions","closed","[Ka0S] JSONLINT Error detected in 21001660884","2026-01-15T08:08:02Z","https://github.com/Ka0s-Klaus/ka0s/issues/2515"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001455357' for more information of error.",true,"2026-01-15T08:08:01Z",0,"2026-01-14T17:16:36Z",3814102822,"bug","",2514,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2514/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001455357","2026-01-15T08:08:01Z","https://github.com/Ka0s-Klaus/ka0s/issues/2514"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001668977' for more information of error.",true,"2026-01-15T08:08:00Z",0,"2026-01-14T17:16:31Z",3814102567,"bug","",2513,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2513/reactions","closed","[Ka0S] JSONLINT Error detected in 21001668977","2026-01-15T08:08:01Z","https://github.com/Ka0s-Klaus/ka0s/issues/2513"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001628396' for more information of error.",true,"2026-01-15T08:08:00Z",0,"2026-01-14T17:16:27Z",3814102323,"bug","",2512,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2512/reactions","closed","[Ka0S] JSONLINT Error detected in 21001628396","2026-01-15T08:08:00Z","https://github.com/Ka0s-Klaus/ka0s/issues/2512"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001622718' for more information of error.",true,"2026-01-15T08:07:59Z",0,"2026-01-14T17:16:25Z",3814102242,"bug","",2511,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2511/reactions","closed","[Ka0S] JSONLINT Error detected in 21001622718","2026-01-15T08:07:59Z","https://github.com/Ka0s-Klaus/ka0s/issues/2511"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001658829' for more information of error.",true,"2026-01-15T08:07:59Z",0,"2026-01-14T17:16:22Z",3814102106,"bug","",2510,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2510/reactions","closed","[Ka0S] JSONLINT Error detected in 21001658829","2026-01-15T08:07:59Z","https://github.com/Ka0s-Klaus/ka0s/issues/2510"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001616933' for more information of error.",true,"2026-01-15T08:07:58Z",0,"2026-01-14T17:15:46Z",3814100239,"bug","",2509,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2509/reactions","closed","[Ka0S] JSONLINT Error detected in 21001616933","2026-01-15T08:07:58Z","https://github.com/Ka0s-Klaus/ka0s/issues/2509"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001275223' for more information of error.",true,"2026-01-15T08:07:58Z",0,"2026-01-14T17:15:43Z",3814100120,"bug","",2508,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2508/reactions","closed","[Ka0S] MDLINT Error detected in 21001275223","2026-01-15T08:07:58Z","https://github.com/Ka0s-Klaus/ka0s/issues/2508"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001704010' for more information of error.",true,"2026-01-15T08:07:57Z",0,"2026-01-14T17:15:12Z",3814098478,"bug","",2507,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2507/reactions","closed","[Ka0S] JSONLINT Error detected in 21001704010","2026-01-15T08:07:57Z","https://github.com/Ka0s-Klaus/ka0s/issues/2507"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001606262' for more information of error.",true,"2026-01-15T08:07:57Z",0,"2026-01-14T17:15:06Z",3814098182,"bug","",2506,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2506/reactions","closed","[Ka0S] JSONLINT Error detected in 21001606262","2026-01-15T08:07:57Z","https://github.com/Ka0s-Klaus/ka0s/issues/2506"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001412040' for more information of error.",true,"2026-01-15T08:07:56Z",0,"2026-01-14T17:14:18Z",3814095693,"bug","",2505,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2505/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001412040","2026-01-15T08:07:56Z","https://github.com/Ka0s-Klaus/ka0s/issues/2505"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001747000' for more information of error.",true,"2026-01-15T08:07:56Z",0,"2026-01-14T17:14:02Z",3814094713,"bug","",2504,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2504/reactions","closed","[Ka0S] JSONLINT Error detected in 21001747000","2026-01-15T08:07:56Z","https://github.com/Ka0s-Klaus/ka0s/issues/2504"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001413783' for more information of error.",true,"2026-01-15T08:38:56Z",0,"2026-01-14T17:13:34Z",3814093242,"bug","",2503,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2503/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001413783","2026-01-15T08:38:56Z","https://github.com/Ka0s-Klaus/ka0s/issues/2503"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001685174' for more information of error.",true,"2026-01-15T08:38:55Z",0,"2026-01-14T17:13:02Z",3814091559,"bug","",2502,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2502/reactions","closed","[Ka0S] JSONLINT Error detected in 21001685174","2026-01-15T08:38:55Z","https://github.com/Ka0s-Klaus/ka0s/issues/2502"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001502998' for more information of error.",true,"2026-01-15T08:38:55Z",0,"2026-01-14T17:12:35Z",3814090272,"bug","",2501,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2501/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001502998","2026-01-15T08:38:55Z","https://github.com/Ka0s-Klaus/ka0s/issues/2501"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001699184' for more information of error.",true,"2026-01-15T08:38:54Z",0,"2026-01-14T17:11:42Z",3814087488,"bug","",2500,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2500/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001699184","2026-01-15T08:38:54Z","https://github.com/Ka0s-Klaus/ka0s/issues/2500"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001492312' for more information of error.",true,"2026-01-15T08:38:54Z",0,"2026-01-14T17:10:48Z",3814084568,"bug","",2499,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2499/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001492312","2026-01-15T08:38:54Z","https://github.com/Ka0s-Klaus/ka0s/issues/2499"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001500865' for more information of error.",true,"2026-01-15T08:38:53Z",0,"2026-01-14T17:09:38Z",3814080874,"bug","",2498,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2498/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001500865","2026-01-15T08:38:53Z","https://github.com/Ka0s-Klaus/ka0s/issues/2498"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001430871' for more information of error.",true,"2026-01-15T08:38:51Z",0,"2026-01-14T17:09:18Z",3814079788,"bug","",2497,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2497/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001430871","2026-01-15T08:38:51Z","https://github.com/Ka0s-Klaus/ka0s/issues/2497"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001428286' for more information of error.",true,"2026-01-15T08:38:50Z",0,"2026-01-14T17:08:29Z",3814077134,"bug","",2496,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2496/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001428286","2026-01-15T08:38:50Z","https://github.com/Ka0s-Klaus/ka0s/issues/2496"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001436877' for more information of error.",true,"2026-01-15T08:38:49Z",0,"2026-01-14T17:07:57Z",3814075207,"bug","",2495,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2495/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001436877","2026-01-15T08:38:49Z","https://github.com/Ka0s-Klaus/ka0s/issues/2495"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001540070' for more information of error.",true,"2026-01-15T08:38:49Z",0,"2026-01-14T17:05:59Z",3814068406,"bug","",2494,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2494/reactions","closed","[Ka0S] JSONLINT Error detected in 21001540070","2026-01-15T08:38:49Z","https://github.com/Ka0s-Klaus/ka0s/issues/2494"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001572756' for more information of error.",true,"2026-01-15T08:38:48Z",0,"2026-01-14T17:05:57Z",3814068320,"bug","",2493,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2493/reactions","closed","[Ka0S] JSONLINT Error detected in 21001572756","2026-01-15T08:38:48Z","https://github.com/Ka0s-Klaus/ka0s/issues/2493"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001513782' for more information of error.",true,"2026-01-15T08:38:48Z",0,"2026-01-14T17:05:56Z",3814068264,"bug","",2492,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2492/reactions","closed","[Ka0S] JSONLINT Error detected in 21001513782","2026-01-15T08:38:48Z","https://github.com/Ka0s-Klaus/ka0s/issues/2492"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001674260' for more information of error.",true,"2026-01-15T08:38:47Z",0,"2026-01-14T17:05:51Z",3814068012,"bug","",2490,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2490/reactions","closed","[Ka0S] JSONLINT Error detected in 21001674260","2026-01-15T08:38:47Z","https://github.com/Ka0s-Klaus/ka0s/issues/2490"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001424290' for more information of error.",true,"2026-01-15T08:38:46Z",0,"2026-01-14T17:05:51Z",3814068011,"bug","",2491,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2491/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001424290","2026-01-15T08:38:46Z","https://github.com/Ka0s-Klaus/ka0s/issues/2491"
